cuisine_id,cuisine_name
152,African
1,American
151,Argentine
3,Asian
131,Australian
193,BBQ
5,Bakery
159,Brazilian
133,British
168,Burger
30,Cafe
871,Carvery
25,Chinese
161,Coffee and Tea
881,Crepes
671,Czech
192,Deli
100,Desserts
268,Drinks Only
146,Egyptian
38,European
40,Fast Food
112,Filipino
271,Finger Food
298,Fish and Chips
45,French
156,Greek
181,Grill
143,Healthy Food
233,Ice Cream
148,Indian
114,Indonesian
140,Iranian
135,Irish
55,Italian
60,Japanese
164,Juices
178,Kebab
67,Korean
66,Lebanese
69,Malaysian
70,Mediterranean
73,Mexican
137,Middle Eastern
294,Modern European
74,Mongolian
147,Moroccan
117,Nepalese
139,Pakistani
82,Pizza
219,Polish
87,Portuguese
983,Pub Food
84,Russian
304,Sandwich
83,Seafood
89,Spanish
141,Steak
90,Street Food
177,Sushi
179,Tapas
163,Tea
150,Tex-Mex
95,Thai
142,Turkish
308,Vegetarian
99,Vietnamese
185,World Cuisine
